gender,grade
male,4.3
male,4.3
male,4.3
male,4.3
male,4
male,4
male,4
male,4
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.3
male,3
male,3
male,2
male,1.3
male,0.7
male,4.3
male,4.3
male,4.3
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.3
male,3.3
male,3.3
male,3.3
male,3
male,3
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.3
male,2.3
male,2.3
male,2
male,2
male,2
male,2
male,2
male,1.7
male,1.7
male,1.3
male,1
male,0.7
male,0
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,4
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.7
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3.3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,3
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.7
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2.3
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,2
male,1.7
male,1.7
male,1.7
male,1.7
male,1.7
male,1.7
male,1.3
male,1.3
male,1.3
male,1.3
male,1.3
male,1.3
male,1
male,1
male,0.7
male,0.7
male,0
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4.3
male,4
male,4
male,4
male,4
male,4.3
male,4
male,4.3
male,4
male,4
male,4
male,4.3
male,4
male,4
male,3.7
male,4
male,4
male,4.3
male,4
male,4
male,4
male,4
male,3.7
male,3.3
male,3.7
male,4
male,4
male,4
male,3.7
male,3.3
male,3.7
male,4
male,4
male,3.7
male,2.7
male,4
male,3.3
male,4
male,3.3
male,2.7
male,3.3
male,3.7
male,3.3
male,3
male,3
male,3
male,3
male,3.3
male,3
male,3
male,2.7
male,3
male,3
male,3
male,2.7
male,2.3
male,2.3
male,2
male,2.3
male,2
male,3
male,3.7
male,4
male,4
male,1
male,1
male,4
male,3.3
male,4
male,3.7
male,3.7
male,4
male,4
male,3.7
male,2.3
male,4
male,4
male,4
male,4
male,4.3
male,3.7
male,3.7
male,3.7
male,2.7
male,4
male,4
male,4
male,2.7
male,3
male,3
male,4.3
male,3
male,3.7
male,4
male,4
male,4
male,3.7
male,4.3
male,4
male,3.7
male,4
male,3.7
male,4
male,4
male,4
male,4
male,3.7
male,3
male,3.7
male,3
male,3.7
male,3
male,4
male,4
male,4
male,1
male,4
male,4
male,3.7
male,4
male,4
male,4.3
male,3.7
male,4
male,3.7
male,2
male,4
male,3.7
male,3
male,2.7
male,3
male,4
male,1
male,3
male,4
male,2.7
male,3
male,3
male,4
male,3
male,3
male,1
male,2.7
male,1.7
male,2.7
male,3
male,3
male,3
male,1
male,2
male,3
male,3.7
male,2
male,2.3
male,0.7
male,3
male,4.3
male,0.7
male,1
male,2.7
male,3
male,3
male,2
male,4
male,3.7
male,1
male,3.7
male,3
male,1.3
male,2
male,4
male,1
male,2
male,3
male,2
male,2
male,1
male,1
male,3
male,1
male,2
male,1.3
male,0.7
male,2
male,2
male,4
male,3
male,2
male,3
male,2
male,2
male,3
male,2
male,2
male,4
male,3.7
male,0
male,1
male,3
male,0.7
male,3.3
male,3
male,0.7
male,2.7
male,2.7
male,2
male,1
male,3
male,1
male,1.7
male,2
male,4
male,3.3
male,3
male,1
male,4
male,1.7
male,1
male,4
male,2.7
male,4
male,3
male,3
male,3
male,2
male,3.7
male,4
male,3
male,2
male,1
male,1.3
male,1.3
male,2
male,3.3
male,2
male,4
male,3.3
male,2
male,2.7
male,3
male,1
male,3
male,2.7
male,2
male,3
male,4.3
male,3
male,2
male,1
male,3
male,4
male,2.3
male,3
male,2
male,3
male,3.3
male,3
male,2.3
male,0.7
male,2
male,3
male,3
male,3
male,2
male,3.3
male,1
male,2
male,2
male,3
male,2
male,3
male,4
male,3.7
male,1
male,4
male,2
male,3
male,3
male,2
male,1.3
male,3
male,3
male,3
male,1.3
male,3
male,3
male,4
male,4
male,2.3
male,1.3
male,3
male,2
male,2
male,2
male,1
male,3.3
male,4.3
male,3
male,0
male,1.3
male,3
male,1
male,3
